Link,Checked
https://chess-results.com/tnr106050.aspx?lan=1,False
https://chess-results.com/tnr106048.aspx?lan=1,False
https://chess-results.com/tnr106044.aspx?lan=1,False
https://chess-results.com/tnr106049.aspx?lan=1,False
https://chess-results.com/tnr106047.aspx?lan=1,False
https://chess-results.com/tnr106039.aspx?lan=1,False
https://chess-results.com/tnr106046.aspx?lan=1,False
https://chess-results.com/tnr111891.aspx?lan=1,False
https://chess-results.com/tnr111890.aspx?lan=1,False
https://chess-results.com/tnr110921.aspx?lan=1,False
https://chess-results.com/tnr110923.aspx?lan=1,False
https://chess-results.com/tnr111972.aspx?lan=1,False
https://chess-results.com/tnr110932.aspx?lan=1,False
https://chess-results.com/tnr110931.aspx?lan=1,False
https://chess-results.com/tnr110917.aspx?lan=1,False
https://chess-results.com/tnr110905.aspx?lan=1,False
https://chess-results.com/tnr110916.aspx?lan=1,False
https://chess-results.com/tnr110928.aspx?lan=1,False
https://chess-results.com/tnr110929.aspx?lan=1,False
https://chess-results.com/tnr110907.aspx?lan=1,False
https://chess-results.com/tnr110926.aspx?lan=1,False
https://chess-results.com/tnr110904.aspx?lan=1,False
https://chess-results.com/tnr111223.aspx?lan=1,False
https://chess-results.com/tnr111226.aspx?lan=1,False
https://chess-results.com/tnr111222.aspx?lan=1,False
https://chess-results.com/tnr111225.aspx?lan=1,False
https://chess-results.com/tnr111221.aspx?lan=1,False
https://chess-results.com/tnr111224.aspx?lan=1,False
https://chess-results.com/tnr105776.aspx?lan=1,False
https://chess-results.com/tnr105774.aspx?lan=1,False
https://chess-results.com/tnr79020.aspx?lan=1,False
https://chess-results.com/tnr79021.aspx?lan=1,False
https://chess-results.com/tnr79022.aspx?lan=1,False
https://chess-results.com/tnr79016.aspx?lan=1,False
https://chess-results.com/tnr79015.aspx?lan=1,False
https://chess-results.com/tnr79014.aspx?lan=1,False
https://chess-results.com/tnr79013.aspx?lan=1,False
https://chess-results.com/tnr79012.aspx?lan=1,False
https://chess-results.com/tnr79011.aspx?lan=1,False
https://chess-results.com/tnr76367.aspx?lan=1,False
https://chess-results.com/tnr76372.aspx?lan=1,False
https://chess-results.com/tnr76374.aspx?lan=1,False
https://chess-results.com/tnr76368.aspx?lan=1,False
https://chess-results.com/tnr77369.aspx?lan=1,False
https://chess-results.com/tnr79019.aspx?lan=1,False
https://chess-results.com/tnr79018.aspx?lan=1,False
https://chess-results.com/tnr79017.aspx?lan=1,False
https://chess-results.com/tnr77368.aspx?lan=1,False
https://chess-results.com/tnr77105.aspx?lan=1,False
https://chess-results.com/tnr77106.aspx?lan=1,False
https://chess-results.com/tnr76363.aspx?lan=1,False
https://chess-results.com/tnr76365.aspx?lan=1,False
https://chess-results.com/tnr76373.aspx?lan=1,False
https://chess-results.com/tnr76371.aspx?lan=1,False
https://chess-results.com/tnr76366.aspx?lan=1,False
https://chess-results.com/tnr76370.aspx?lan=1,False
https://chess-results.com/tnr76364.aspx?lan=1,False
https://chess-results.com/tnr76369.aspx?lan=1,False
https://chess-results.com/tnr77367.aspx?lan=1,False
https://chess-results.com/tnr77177.aspx?lan=1,False
https://chess-results.com/tnr77178.aspx?lan=1,False
https://chess-results.com/tnr77175.aspx?lan=1,False
https://chess-results.com/tnr77174.aspx?lan=1,False
https://chess-results.com/tnr77176.aspx?lan=1,False
https://chess-results.com/tnr77179.aspx?lan=1,False
https://chess-results.com/tnr74852.aspx?lan=1,False
https://chess-results.com/tnr74848.aspx?lan=1,False
https://chess-results.com/tnr74851.aspx?lan=1,False
https://chess-results.com/tnr74855.aspx?lan=1,False
https://chess-results.com/tnr74854.aspx?lan=1,False
https://chess-results.com/tnr74853.aspx?lan=1,False
https://chess-results.com/tnr55701.aspx?lan=1,False
https://chess-results.com/tnr55702.aspx?lan=1,False
https://chess-results.com/tnr55705.aspx?lan=1,False
https://chess-results.com/tnr55706.aspx?lan=1,False
https://chess-results.com/tnr55707.aspx?lan=1,False
https://chess-results.com/tnr55709.aspx?lan=1,False
https://chess-results.com/tnr56181.aspx?lan=1,False
https://chess-results.com/tnr56185.aspx?lan=1,False
https://chess-results.com/tnr56187.aspx?lan=1,False
https://chess-results.com/tnr56184.aspx?lan=1,False
https://chess-results.com/tnr56186.aspx?lan=1,False
https://chess-results.com/tnr56182.aspx?lan=1,False
https://chess-results.com/tnr56452.aspx?lan=1,False
https://chess-results.com/tnr56453.aspx?lan=1,False
https://chess-results.com/tnr56454.aspx?lan=1,False
https://chess-results.com/tnr56100.aspx?lan=1,False
https://chess-results.com/tnr56102.aspx?lan=1,False
https://chess-results.com/tnr56107.aspx?lan=1,False
https://chess-results.com/tnr56103.aspx?lan=1,False
https://chess-results.com/tnr56104.aspx?lan=1,False
https://chess-results.com/tnr56108.aspx?lan=1,False
https://chess-results.com/tnr56105.aspx?lan=1,False
https://chess-results.com/tnr56106.aspx?lan=1,False
https://chess-results.com/tnr56101.aspx?lan=1,False
https://chess-results.com/tnr56109.aspx?lan=1,False
https://chess-results.com/tnr56110.aspx?lan=1,False
https://chess-results.com/tnr56111.aspx?lan=1,False
https://chess-results.com/tnr55708.aspx?lan=1,False
https://chess-results.com/tnr55704.aspx?lan=1,False
https://chess-results.com/tnr55700.aspx?lan=1,False
https://chess-results.com/tnr55699.aspx?lan=1,False
https://chess-results.com/tnr55703.aspx?lan=1,False
https://chess-results.com/tnr55698.aspx?lan=1,False
https://chess-results.com/tnr52586.aspx?lan=1,False
https://chess-results.com/tnr52589.aspx?lan=1,False
https://chess-results.com/tnr38339.aspx?lan=1,False
https://chess-results.com/tnr38340.aspx?lan=1,False
https://chess-results.com/tnr38342.aspx?lan=1,False
https://chess-results.com/tnr38345.aspx?lan=1,False
https://chess-results.com/tnr38347.aspx?lan=1,False
https://chess-results.com/tnr38348.aspx?lan=1,False
https://chess-results.com/tnr38337.aspx?lan=1,False
https://chess-results.com/tnr38341.aspx?lan=1,False
https://chess-results.com/tnr38346.aspx?lan=1,False
https://chess-results.com/tnr38338.aspx?lan=1,False
https://chess-results.com/tnr38344.aspx?lan=1,False
https://chess-results.com/tnr38343.aspx?lan=1,False
https://chess-results.com/tnr36152.aspx?lan=1,False
https://chess-results.com/tnr36151.aspx?lan=1,False
https://chess-results.com/tnr36118.aspx?lan=1,False
https://chess-results.com/tnr36117.aspx?lan=1,False
https://chess-results.com/tnr36116.aspx?lan=1,False
https://chess-results.com/tnr36115.aspx?lan=1,False
https://chess-results.com/tnr24962.aspx?lan=1,False
https://chess-results.com/tnr24963.aspx?lan=1,False
